mean_10_reward,std_10_reward,mean_100_reward,std_100_reward,mean_100_eval_score,std_100_eval_score,lst_100_exp_rat,mean_100_exp_rat,std_100_exp_rat
-43.0,0.0,-43.0,0.0,-32.0,0.0,[0.26636147],0.26636147204917116,0.0
-66.0,23.0,-66.0,23.0,-19.0,13.0,[0.26636147 0.24909937],0.2577304216037312,0.008631050445439936
-46.0,33.95094500402996,-46.0,33.95094500402996,-6.0,21.228911104120876,[0.26636147 0.24909937 0.24728288],0.25424790913622286,0.008597624131149341
-45.25,29.431063521388417,-45.25,29.431063521388417,-28.0,42.30839160261236,[0.26636147 0.24909937 0.24728288 0.24471385],0.25186439420244877,0.008513682272904223
-32.2,37.06966414738607,-32.2,37.06966414738607,-29.8,38.01262948021355,[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712],0.2517009384183744,0.0076218829595160005
-41.666666666666664,39.915187864047724,-41.666666666666664,39.915187864047724,-35.333333333333336,36.840497040922536,[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763],0.24937872065106478,0.00868184273841152
-45.42857142857143,38.085832172146354,-45.42857142857143,38.085832172146354,-40.0,35.9722114972099,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476 ]",0.25124570339552915,0.009247722436736367
-51.5,39.080046059338265,-51.5,39.080046059338265,-45.5,36.66060555964672,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739]",0.2514709146308266,0.008670949468603875
-49.888888888888886,37.12574561748654,-49.888888888888886,37.12574561748654,-50.333333333333336,37.16928241916375,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748]",0.2505816445348223,0.008553235978656632
-40.3,45.47537795334966,-40.3,45.47537795334966,-42.8,41.88269332313766,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339]",0.2516348192104853,0.008707735251662678
-34.5,48.36786123036659,-35.27272727272727,46.181639226568095,-49.81818181818182,45.68631818631796,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081]",0.25163536399674874,0.008302499978251988
-28.8,44.839268504292086,-35.0,44.22480450305386,-53.5,45.41383783239054,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178]",0.2512225655298932,0.008066079719919033
-29.9,44.399211704713856,-33.61538461538461,42.75968349443642,-50.23076923076923,45.077973209085755,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028 ]",0.25086719858769296,0.007846803700576898
-29.8,44.37071106033799,-34.214285714285715,41.260805634798906,-48.57142857142857,43.84830064424111,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396]",0.25041053845966355,0.007738559620963187
-38.1,41.977255746415814,-36.13333333333333,40.503278330964214,-49.2,42.42672113970943,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818]",0.2507263813403789,0.0075689857639075556
-33.5,38.52596527019148,-36.5625,39.25233870420971,-53.625,44.51105901907974,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129]",0.25087418801540495,0.007350962596733811
-29.9,36.776215139679614,-36.294117647058826,38.09549101909777,-49.294117647058826,46.52736665394749,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652]",0.24961608973895028,0.008728287629017577
-20.6,30.63723225097202,-34.333333333333336,37.89459064299283,-49.22222222222222,45.21744446505814,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254]",0.24956422568361983,0.008485065924069996
-23.2,32.935694922075044,-35.8421052631579,37.43522568228561,-50.21052631578947,44.210714285314694,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663]",0.24952908924991674,0.008260101980489173
-34.1,25.40649523251879,-37.2,36.96430710834439,-49.55,43.187353472978636,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427 ]",0.24965976992453887,0.008071077488622649
-44.5,24.4468811916776,-39.666666666666664,37.72246183620744,-50.42857142857143,42.329289002805055,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141]",0.2496703242271064,0.007876706532356306
-36.7,36.608878704489165,-35.77272727272727,40.947784731046994,-50.77272727272727,41.38613274360235,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316]",0.24960181662933129,0.007702009543425552
-37.7,36.1912972964496,-35.391304347826086,40.08766386247583,-50.65217391304348,40.4803856912071,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316 0.24893968]",0.24957302815191526,0.007533924097414771
-38.3,36.30716182793692,-35.916666666666664,39.32441636213082,-48.583333333333336,40.8512715700367,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316 0.24893968 0.25309515]",0.24971978328216995,0.007408803166690485
-26.9,43.87128901685019,-32.44,42.12655219692207,-51.44,42.401962218746434,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316 0.24893968 0.25309515
 0.25776804]",0.25004171357051563,0.007428464743239731
-28.9,45.00099998888914,-33.61538461538461,41.72444120755652,-49.69230769230769,42.48689321043086,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316 0.24893968 0.25309515
 0.25776804 0.26046054]",0.2504424377092948,0.007554746607900288
-29.4,45.060403904093,-33.74074074074074,40.94946532694186,-49.407407407407405,41.71797663789491,"[0.26636147 0.24909937 0.24728288 0.24471385 0.25104712 0.23776763
 0.2624476  0.25304739 0.24346748 0.26111339 0.25164081 0.24668178
 0.2466028  0.24447396 0.25514818 0.25309129 0.22948652 0.24868254
 0.24889663 0.2521427  0.24988141 0.24816316 0.24893968 0.25309515
 0.25776804 0.26046054 0.24920235]",0.25039650846200245,0.007417222126691484
